Date,Open,High,Low,Close,Adj Close,Volume
2018-06-20,24.200001,24.266001,24.200001,24.200001,24.200001,15500
2018-06-21,24.469999,24.469999,23.422001,23.500000,23.500000,5700
2018-06-22,23.799999,23.799999,23.688000,23.716999,23.716999,5000
2018-06-25,23.240000,23.290001,22.841999,23.059999,23.059999,3200
2018-06-26,23.049999,23.090000,22.944000,23.070000,23.070000,2400
2018-06-27,22.760000,22.770000,22.440001,22.440001,22.440001,8400
2018-06-28,22.309999,22.450001,22.190001,22.450001,22.450001,5200
2018-06-29,22.830000,22.830000,22.790001,22.790001,22.790001,15600
2018-07-02,22.280001,22.358999,22.191000,22.250000,22.250000,23200
2018-07-03,22.780001,22.830000,22.780001,22.830000,22.830000,800
2018-07-05,22.370001,22.370001,22.250000,22.250000,22.250000,16500
2018-07-06,22.280001,22.469999,22.280001,22.469999,22.469999,2400
2018-07-09,22.930000,22.930000,22.930000,22.930000,22.930000,500
2018-07-10,22.700001,22.820000,22.700001,22.750000,22.750000,2400
2018-07-11,22.410000,22.410000,21.927000,21.997999,21.997999,800
2018-07-12,22.590000,22.590000,22.590000,22.590000,22.590000,1200
2018-07-13,22.320000,22.320000,22.320000,22.320000,22.320000,200
2018-07-16,22.299999,22.350000,22.299999,22.350000,22.350000,200
2018-07-17,22.250000,22.250000,22.250000,22.250000,22.250000,300
2018-07-18,22.180000,22.180000,22.122000,22.150000,22.150000,1200
2018-07-19,21.820000,21.820000,21.792000,21.792000,21.792000,700
2018-07-20,22.110001,22.190001,22.110001,22.190001,22.190001,500
2018-07-23,22.270000,22.280001,22.270000,22.280001,22.280001,600
2018-07-24,22.780001,22.780001,22.750000,22.750000,22.750000,1300
2018-07-25,22.750000,22.801001,22.750000,22.801001,22.801001,2300
2018-07-26,22.420000,22.424000,22.420000,22.424000,22.424000,1300
2018-07-27,22.290001,22.406000,22.180000,22.180000,22.180000,7000
2018-07-30,22.000000,22.000000,22.000000,22.000000,22.000000,200
2018-07-31,21.964001,22.209999,21.889999,22.209999,22.209999,700
2018-08-01,21.520000,21.552999,21.500000,21.500000,21.500000,800
2018-08-02,20.930000,21.030001,20.930000,20.955000,20.955000,1800
2018-08-03,21.045000,21.045000,21.045000,21.045000,21.045000,400
2018-08-06,20.730000,20.730000,20.730000,20.730000,20.730000,800
2018-08-07,21.180000,21.180000,21.180000,21.180000,21.180000,200
2018-08-08,20.889999,20.889999,20.700001,20.819000,20.819000,600
2018-08-09,20.819000,20.819000,20.819000,20.819000,20.819000,0
