Date,Open,High,Low,Close,Adj Close,Volume
2009-12-01,16.320000,16.320000,16.000000,16.070000,13.917912,40300
2009-12-02,16.450001,16.450001,16.280001,16.430000,14.229702,518900
2009-12-03,16.690001,16.690001,16.400000,16.400000,14.203719,730800
2009-12-04,16.639999,16.750000,16.400000,16.570000,14.350953,114700
2009-12-07,19.549999,19.549999,16.309999,16.350000,14.160415,332100
2009-12-08,16.180000,16.180000,16.040001,16.080000,13.926575,111400
2009-12-09,15.940000,16.139999,15.890000,16.020000,13.874607,390000
2009-12-10,16.049999,16.049999,15.930000,15.990000,13.848625,14300
2009-12-11,16.160000,16.160000,15.940000,16.010000,13.865949,24200
2009-12-14,16.090000,16.100000,15.940000,15.990000,13.848625,26500
2009-12-15,15.900000,15.910000,15.790000,15.810000,13.692732,23500
2009-12-16,15.720000,15.720000,15.550000,15.590000,13.502194,266300
2009-12-17,15.310000,15.310000,15.110000,15.110000,13.086473,51700
2009-12-18,15.190000,15.190000,14.990000,15.020000,13.008530,23400
2009-12-21,15.260000,15.260000,15.110000,15.190000,13.155761,10600
2009-12-22,15.150000,15.150000,14.990000,15.030000,13.017190,7600
2009-12-23,15.170000,15.210000,15.120000,15.170000,13.138438,7600
2009-12-24,15.470000,15.470000,15.310000,15.350000,13.294335,13500
2009-12-28,15.570000,15.570000,15.340000,15.400000,13.337638,13500
2009-12-29,16.350000,16.350000,15.370000,15.420000,13.354961,15800
2009-12-30,15.370000,15.410000,15.370000,15.400000,13.337638,4100
2009-12-31,15.660000,15.660000,15.460000,15.470000,13.398263,26200
2010-01-04,15.510000,15.940000,15.510000,15.870000,13.744695,15400
2010-01-05,16.000000,16.150000,16.000000,16.080000,13.926575,40600
2010-01-06,16.290001,16.309999,16.240000,16.309999,14.125772,14300
2010-01-07,16.340000,16.340000,16.160000,16.230000,14.056485,21200
2010-01-08,16.250000,16.360001,16.190001,16.360001,14.169077,19800
2010-01-11,16.590000,16.790001,16.469999,16.670000,14.437560,35400
