Date,Open,High,Low,Close,Adj Close,Volume
2016-11-10,22.700001,22.730000,22.690001,22.700001,21.743858,500
2016-11-11,22.700001,22.700001,22.700001,22.700001,21.743858,0
2016-11-14,22.719999,27.580000,20.740000,20.740000,19.866415,2400
2016-11-15,20.740000,20.740000,20.740000,20.740000,19.866415,0
2016-11-16,22.503000,22.730000,22.443001,22.516001,21.567610,9700
2016-11-17,22.950001,22.990000,22.799999,22.799999,21.839647,1200
2016-11-18,23.360001,23.360001,22.740999,22.740999,21.783131,4300
2016-11-21,23.219999,23.219999,22.759001,22.840000,21.877960,2400
2016-11-22,22.811001,23.020000,22.809999,22.975000,22.007275,1700
2016-11-23,23.100000,23.100000,23.100000,23.100000,22.127012,800
2016-11-25,23.351000,23.379000,23.351000,23.379000,22.394258,700
2016-11-28,23.410000,23.410000,23.379999,23.379999,22.395216,400
2016-11-29,23.110001,23.545000,23.110001,23.545000,22.553267,1300
2016-11-30,23.545000,23.545000,23.545000,23.545000,22.553267,0
2016-12-01,21.760000,21.844000,21.740000,21.844000,20.923914,3000
2016-12-02,21.173000,21.173000,21.110001,21.110001,20.220831,2100
2016-12-05,21.768999,21.768999,21.697001,21.697001,20.783108,500
2016-12-06,22.990000,26.090000,21.320000,21.320000,20.421986,1700
2016-12-07,21.320000,21.320000,21.320000,21.320000,20.421986,0
2016-12-08,22.120001,22.186001,22.120001,22.186001,21.251509,900
2016-12-09,22.186001,22.186001,22.186001,22.186001,21.251509,0
2016-12-12,22.186001,22.186001,22.186001,22.186001,21.251509,0
2016-12-13,22.000000,22.000000,21.730000,21.804001,20.885599,1300
2016-12-14,20.959999,21.003000,20.959999,21.003000,20.118338,1000
2016-12-15,20.170000,20.170000,20.170000,20.170000,19.320425,200
2016-12-16,19.860001,20.030001,19.570000,19.730000,18.898958,4600
2016-12-19,19.730000,19.730000,19.730000,19.730000,18.898958,0
2016-12-20,19.614000,19.614000,19.614000,19.614000,18.787844,1000
2016-12-21,19.614000,19.614000,19.614000,19.614000,18.787844,0
2016-12-22,19.614000,19.614000,19.614000,19.614000,18.787844,0
2016-12-23,19.614000,19.614000,19.614000,19.614000,18.787844,0
2016-12-27,19.709999,20.041000,19.709999,19.910000,19.071375,700
2016-12-28,19.910000,19.910000,19.910000,19.910000,19.071375,0
2016-12-29,19.910000,19.910000,19.910000,19.910000,19.071375,0
2016-12-30,19.839001,19.839001,19.820000,19.820000,18.985167,1000
2017-01-03,20.330000,20.330000,20.330000,20.330000,19.473686,600
2017-01-04,20.530001,20.530001,20.530001,20.530001,19.665260,100
2017-01-05,21.830000,22.110001,21.830000,22.110001,21.178711,500
2017-01-06,22.110001,22.110001,22.110001,22.110001,21.178711,0
2017-01-09,22.357000,22.357000,22.357000,22.357000,21.415308,600
2017-01-10,22.357000,22.357000,22.357000,22.357000,21.415308,0
2017-01-11,22.830000,22.885000,22.830000,22.885000,21.921066,2100
2017-01-12,22.110001,22.110001,22.110001,22.110001,21.178711,500
2017-01-13,22.110001,22.110001,22.110001,22.110001,21.178711,0
