Date,Open,High,Low,Close,Adj Close,Volume
2007-10-30,51.660000,51.740002,51.380001,51.400002,35.142273,39600
2007-10-31,52.009998,52.709999,51.599998,52.549999,35.928532,93000
2007-11-01,51.599998,51.599998,50.450001,50.459999,34.499596,165900
2007-11-02,51.119999,51.230000,50.299999,51.060001,34.909813,83900
2007-11-05,50.490002,50.880001,50.099998,50.619999,34.608990,48100
2007-11-06,51.619999,52.060001,51.020000,52.060001,35.593529,54900
2007-11-07,51.799999,51.799999,49.810001,49.810001,34.055187,46800
2007-11-08,50.520000,50.799999,48.509998,49.740002,34.007336,72400
2007-11-09,49.599998,50.110001,48.110001,49.349998,33.740681,44200
2007-11-12,48.689999,48.750000,47.189999,47.189999,32.263889,29000
2007-11-13,48.299999,50.369999,48.299999,50.360001,34.431225,38600
2007-11-14,50.759998,50.759998,49.070000,49.070000,33.549255,25100
2007-11-15,48.880001,49.139999,47.900002,48.209999,32.961269,14400
2007-11-16,48.790001,48.950001,48.230000,48.639999,33.255257,9400
2007-11-19,48.090000,49.880001,47.000000,47.040001,32.161343,27800
2007-11-20,47.619999,48.290001,46.919998,47.669998,32.592060,9400
2007-11-21,46.389999,47.169998,45.730000,45.869999,31.361406,37500
2007-11-23,45.299999,46.730000,45.299999,46.669998,31.908365,12900
2007-11-26,46.410000,46.560001,44.509998,44.509998,30.431570,26300
2007-11-27,45.880001,46.500000,45.840000,46.500000,31.792149,10700
2007-11-28,46.500000,47.860001,46.459999,47.860001,32.721973,27800
2007-11-29,47.150002,47.740002,47.110001,47.369999,32.386951,9400
2007-11-30,48.099998,48.110001,47.400002,47.529999,32.496353,15200
2007-12-03,46.750000,48.000000,46.750000,47.560001,32.516865,7100
2007-12-04,48.560001,48.560001,47.410000,47.459999,32.448486,12800
2007-12-05,47.400002,48.889999,47.400002,48.889999,33.426186,15800
2007-12-06,48.189999,49.200001,48.189999,49.200001,33.638134,19900
2007-12-07,48.840000,48.860001,48.580002,48.599998,33.227921,28200
2007-12-10,48.520000,48.820000,48.509998,48.610001,33.234745,31700
2007-12-11,49.340000,49.340000,46.630001,46.750000,31.963064,64700
2007-12-12,48.290001,48.349998,47.450001,47.830002,32.701458,5400
2007-12-13,47.000000,47.270000,46.599998,47.270000,32.318584,19800
2007-12-14,47.380001,47.380001,46.160000,46.189999,31.580198,6400
2007-12-17,46.049999,46.049999,44.250000,44.349998,30.353722,29400
2007-12-18,45.189999,45.259998,44.509998,45.169998,30.914936,11100
2007-12-19,45.310001,45.660000,45.169998,45.290001,30.997074,7300
2007-12-20,45.110001,45.110001,44.689999,44.990002,30.791748,21000
2007-12-21,45.549999,45.970001,45.529999,45.970001,31.462463,34400
2007-12-24,44.349998,46.830002,44.349998,46.830002,32.051067,5700
2007-12-26,46.150002,47.029999,46.150002,46.880001,32.085289,14700
2007-12-27,46.840000,46.900002,46.349998,46.360001,31.729389,5200
2007-12-28,47.250000,47.330002,46.810001,47.060001,32.208492,5300
2007-12-31,47.619999,47.619999,47.160000,47.169998,32.283772,20300
2008-01-02,47.169998,47.209999,46.080002,46.240002,31.647270,23500
2008-01-03,46.630001,46.709999,46.389999,46.430000,31.777302,10000
2008-01-04,46.459999,46.459999,45.430000,45.470001,31.120262,15800
2008-01-07,45.810001,45.869999,45.330002,45.470001,31.120262,43700
2008-01-08,47.299999,47.299999,45.500000,45.520000,31.154478,25000
2008-01-09,46.139999,46.380001,45.529999,46.380001,31.743080,13600
2008-01-10,45.910000,47.169998,45.849998,46.770000,32.010010,20000
2008-01-11,45.950001,46.270000,45.759998,45.810001,31.352972,16400
2008-01-14,48.310001,48.310001,46.220001,46.570000,31.873127,46500
2008-01-15,45.930000,45.930000,44.849998,45.119999,30.880720,21500
2008-01-16,44.529999,44.779999,43.459999,43.900002,30.045736,67100
2008-01-17,44.139999,44.250000,42.500000,42.599998,29.155998,29400
2008-01-18,44.040001,44.130001,42.880001,43.410000,29.710375,67700
2008-01-22,41.009998,43.759998,40.900002,43.009998,29.436602,28700
2008-01-23,40.610001,42.639999,39.889999,42.480000,29.073868,70800
