Date,Open,High,Low,Close,Adj Close,Volume
2008-12-30,92362.500000,92362.500000,87837.500000,87837.500000,86866.507813,0
2008-12-31,88325.000000,88575.000000,82850.000000,84062.500000,83133.242188,0
2009-01-02,80250.000000,81225.000000,69462.500000,70600.000000,69819.554688,0
2009-01-05,71837.500000,72450.000000,67337.500000,68737.500000,67977.656250,0
2009-01-06,65562.500000,66450.000000,62250.000000,63500.000000,62798.046875,0
2009-01-07,69000.000000,75087.500000,69000.000000,74150.000000,73330.312500,0
2009-01-08,81250.000000,81250.000000,75300.000000,75300.000000,74467.601563,0
2009-01-09,77162.500000,82187.500000,76450.000000,80162.500000,79276.351563,0
2009-01-12,83750.000000,92112.500000,83100.000000,91287.500000,90278.375000,0
2009-01-13,91250.000000,92662.500000,85762.500000,89812.500000,88819.687500,0
2009-01-14,94950.000000,104862.500000,94712.500000,102987.500000,101849.031250,0
2009-01-15,102537.500000,113350.000000,95712.500000,100025.000000,98919.281250,0
2009-01-16,90250.000000,104712.500000,90112.500000,95462.500000,94407.218750,0
2009-01-20,105037.500000,116975.000000,104025.000000,116975.000000,115681.914063,0
2009-01-21,108037.500000,116312.500000,98750.000000,98750.000000,97658.382813,0
2009-01-22,98750.000000,112637.500000,98750.000000,106675.000000,105495.781250,0
2009-01-23,119250.000000,119250.000000,100137.500000,102912.500000,101774.859375,0
2009-01-26,98675.000000,102475.000000,92412.500000,99500.000000,98400.085938,0
2009-01-27,95837.500000,98012.500000,91712.500000,94300.000000,93257.578125,0
2009-01-28,84900.000000,86225.000000,77737.500000,79737.500000,78856.054688,0
2009-01-29,87025.000000,91112.500000,86262.500000,90950.000000,89944.601563,0
2009-01-30,88425.000000,95450.000000,85850.000000,93887.500000,92849.625000,0
2009-02-02,99962.500000,100500.000000,94375.000000,96437.500000,95371.445313,0
2009-02-03,93600.000000,95962.500000,87362.500000,88437.500000,87459.875000,0
2009-02-04,85300.000000,87950.000000,79925.000000,85237.500000,84295.250000,0
2009-02-05,87800.000000,89750.000000,77737.500000,80000.000000,79115.648438,0
2009-02-06,76825.000000,77362.500000,67450.000000,68650.000000,67891.117188,0
2009-02-09,68825.000000,71112.500000,66825.000000,69075.000000,68311.421875,0
2009-02-10,71050.000000,81400.000000,69425.000000,80762.500000,79869.718750,0
2009-02-11,76100.000000,80512.500000,73375.000000,75387.500000,74554.140625,0
2009-02-12,81387.500000,83562.500000,75925.000000,75925.000000,75085.695313,0
2009-02-13,75712.500000,78037.500000,74300.000000,75075.000000,74245.093750,0
2009-02-17,88400.000000,92450.000000,86962.500000,92425.000000,91403.296875,0
2009-02-18,88125.000000,95300.000000,87875.000000,90350.000000,89351.226563,100
2009-02-19,84387.500000,92887.500000,84375.000000,92187.500000,91168.429688,0
2009-02-20,101475.000000,102950.000000,94462.500000,98225.000000,97139.179688,100
2009-02-23,91350.000000,107075.000000,90900.000000,106887.500000,105705.921875,0
2009-02-24,104137.500000,106025.000000,88750.000000,89550.000000,88560.070313,100
2009-02-25,91587.500000,98237.500000,88400.000000,93687.500000,92651.843750,100
2009-02-26,90575.000000,96187.500000,86725.000000,96187.500000,95124.203125,0
2009-02-27,103412.500000,103412.500000,95350.000000,100175.000000,99067.625000,0
2009-03-02,109762.500000,119675.000000,107512.500000,119162.500000,117845.234375,0
2009-03-03,110850.000000,119762.500000,107637.500000,112362.500000,111120.398438,0
2009-03-04,96612.500000,99437.500000,86875.000000,89887.500000,88893.851563,100
2009-03-05,99287.500000,102887.500000,95800.000000,100512.500000,99401.390625,200
2009-03-06,95350.000000,104037.500000,90937.500000,95725.000000,94666.820313,0
2009-03-09,100012.500000,102125.000000,93537.500000,101375.000000,100254.351563,0
2009-03-10,88950.000000,89575.000000,76837.500000,77375.000000,76519.664063,100
2009-03-11,74812.500000,80250.000000,73612.500000,77150.000000,76297.148438,0
2009-03-12,78037.500000,78550.000000,67812.500000,68425.000000,67668.601563,0
2009-03-13,66550.000000,70050.000000,65900.000000,66825.000000,66086.289063,0
2009-03-16,63725.000000,66937.500000,61625.000000,66775.000000,66036.843750,0
2009-03-17,67500.000000,68662.500000,62375.000000,62375.000000,61685.480469,0
2009-03-18,64525.000000,67050.000000,57425.000000,58637.500000,57989.296875,0
2009-03-19,56387.500000,60412.500000,55925.000000,59337.500000,58681.558594,0
2009-03-20,60250.000000,62562.500000,58725.000000,62087.500000,61401.160156,100
2009-03-23,53387.500000,54375.000000,44625.000000,45525.000000,45021.750000,300
2009-03-24,48475.000000,48862.500000,46387.500000,48825.000000,48285.269531,0
2009-03-25,47787.500000,49612.500000,44125.000000,46375.000000,45862.347656,300
2009-03-26,43787.500000,45000.000000,42550.000000,43112.500000,42635.917969,0
2009-03-27,45600.000000,47500.000000,45575.000000,46587.500000,46072.500000,100
2009-03-30,52625.000000,55137.500000,52625.000000,53412.500000,52822.054688,100
2009-03-31,49500.000000,51225.000000,47887.500000,50625.000000,50065.371094,0
2009-04-01,50687.500000,50987.500000,45087.500000,45375.000000,44873.402344,0
2009-04-02,40362.500000,40550.000000,36162.500000,38137.500000,37715.917969,200
2009-04-03,38862.500000,39225.000000,36475.000000,36475.000000,36071.789063,100
2009-04-06,38062.500000,39762.500000,37687.500000,37800.000000,37382.144531,0
2009-04-07,40012.500000,40825.000000,39225.000000,40175.000000,39730.886719,0
