Date,Open,High,Low,Close,Adj Close,Volume
2011-04-19,29.440001,29.490000,29.440001,29.490000,24.301729,500
2011-04-20,30.110001,30.190001,30.040001,30.150000,24.845617,4600
2011-04-21,30.500000,30.510000,30.280001,30.420000,25.068111,12400
2011-04-25,30.600000,30.600000,30.160000,30.270000,24.944502,5800
2011-04-26,30.450001,30.549999,30.450001,30.450001,25.092834,17300
2011-04-27,30.250000,30.580000,30.059999,30.450001,25.092834,16800
2011-04-28,30.129999,30.170000,30.049999,30.150000,24.845617,9700
2011-04-29,30.150000,30.459999,30.150000,30.330000,24.993948,2600
2011-05-02,30.500000,30.500000,30.270000,30.270000,24.944502,3500
2011-05-03,30.000000,30.010000,29.590000,29.690001,24.466543,3300
2011-05-04,29.469999,29.469999,29.360001,29.360001,24.194595,1300
2011-05-05,29.230000,29.250000,29.100000,29.250000,24.103958,800
2011-05-06,29.459999,29.540001,29.160000,29.160000,24.029787,1200
2011-05-09,29.290001,29.480000,29.290001,29.430000,24.252293,3200
2011-05-10,29.459999,29.600000,29.200001,29.309999,24.153397,20800
2011-05-11,29.450001,29.450001,29.049999,29.049999,23.939137,700
2011-05-12,29.120001,29.250000,28.910000,29.209999,24.070988,9700
2011-05-13,29.320000,29.320000,28.400000,28.500000,23.485901,20600
2011-05-16,28.680000,28.680000,28.500000,28.500000,23.485901,700
2011-05-17,28.440001,28.570000,28.370001,28.549999,23.527105,1000
2011-05-18,28.700001,29.059999,28.700001,28.959999,23.864969,90800
2011-05-19,28.969999,28.969999,28.820000,28.940001,23.848495,2100
2011-05-20,28.700001,28.700001,28.559999,28.639999,23.601269,1100
2011-05-23,28.120001,28.139999,28.020000,28.120001,23.172758,1100
2011-05-24,28.430000,28.660000,28.430000,28.559999,23.535345,6200
2011-05-25,28.480000,28.639999,28.360001,28.590000,23.560066,3700
2011-05-26,28.700001,28.870001,28.700001,28.870001,23.790808,3300
2011-05-27,29.020000,29.110001,28.959999,29.010000,23.906174,4500
2011-05-31,29.459999,29.510000,29.370001,29.510000,24.318213,4300
2011-06-01,29.480000,29.480000,29.180000,29.180000,24.046268,4500
2011-06-02,29.410000,29.440001,29.350000,29.389999,24.219322,1000
2011-06-03,29.320000,29.459999,29.320000,29.459999,24.277004,5000
2011-06-06,29.270000,29.290001,28.889999,28.889999,23.807291,2800
2011-06-07,29.389999,29.389999,29.350000,29.379999,24.211081,2800
2011-06-08,29.090000,29.090000,28.770000,28.900000,23.815531,28600
2011-06-09,28.900000,28.990000,28.730000,28.990000,23.889698,9700
2011-06-10,28.559999,28.559999,28.400000,28.410000,23.411736,8100
2011-06-13,28.360001,28.400000,28.290001,28.330000,23.345810,3900
2011-06-14,28.680000,28.930000,28.340000,28.629999,23.593035,8400
2011-06-15,27.990000,28.330000,27.990000,28.129999,23.181000,10600
2011-06-16,27.950001,27.950001,27.530001,27.850000,22.950254,4600
2011-06-17,27.930000,28.100000,27.790001,28.010000,23.082106,3300
2011-06-20,27.790001,27.840000,27.510000,27.600000,22.744246,6900
2011-06-21,28.170000,28.170000,28.170000,28.170000,23.259472,1900
2011-06-22,28.139999,28.209999,28.070000,28.070000,23.176899,3200
2011-06-23,27.600000,27.950001,27.530001,27.950001,23.077818,2100
2011-06-24,27.920000,27.920000,27.790001,27.840000,22.986996,2600
2011-06-27,28.160000,28.270000,28.129999,28.270000,23.342035,21500
2011-06-28,28.150000,28.340000,28.150000,28.340000,23.399834,8200
2011-06-29,28.400000,28.610001,28.320000,28.320000,23.383318,1600
2011-06-30,28.840000,28.920000,28.840000,28.920000,23.878729,500
2011-07-01,29.500000,29.500000,29.000000,29.440001,24.308086,20000
2011-07-05,29.600000,29.600000,29.240000,29.440001,24.308086,5900
2011-07-06,29.059999,29.299999,29.059999,29.299999,24.192486,13000
2011-07-07,29.730000,29.730000,29.629999,29.639999,24.473223,2300
2011-07-08,29.570000,29.570000,29.299999,29.360001,24.242033,4800
2011-07-11,28.990000,28.990000,28.600000,28.719999,23.713598,11700
2011-07-12,28.580000,28.580000,28.469999,28.469999,23.507170,1600
2011-07-13,28.709999,29.090000,28.709999,29.010000,23.953045,13200
2011-07-14,29.000000,29.110001,28.680000,28.680000,23.680565,1900
2011-07-15,28.750000,28.820000,28.440001,28.520000,23.548458,19900
2011-07-18,28.340000,28.450001,28.139999,28.139999,23.234695,3600
2011-07-19,28.520000,28.730000,28.520000,28.660000,23.664051,6300
2011-07-20,28.889999,28.950001,28.670000,28.850000,23.820934,4400
2011-07-21,29.250000,29.250000,29.139999,29.200001,24.109921,1300
2011-07-22,29.370001,29.370001,29.209999,29.209999,24.118179,300
2011-07-25,29.000000,29.230000,29.000000,29.139999,24.060381,2700
2011-07-26,29.150000,29.469999,28.969999,29.299999,24.192486,6000
2011-07-27,29.350000,29.389999,28.790001,29.080000,24.010841,2800
2011-07-28,29.270000,29.389999,28.990000,28.990000,23.936525,3800
2011-07-29,28.610001,29.170000,28.440001,29.090000,24.019098,9700
2011-08-01,29.209999,29.250000,28.639999,29.030001,23.969559,5600
2011-08-02,28.780001,28.780001,28.299999,28.299999,23.366808,3800
2011-08-03,28.040001,28.389999,27.270000,28.340000,23.399834,6700
2011-08-04,27.639999,28.090000,26.850000,26.850000,22.169565,11400
2011-08-05,26.709999,26.879999,24.950001,26.600000,21.963150,6400
2011-08-08,25.280001,25.610001,23.870001,24.969999,20.617281,15000
2011-08-09,24.840000,25.160000,23.950001,25.110001,20.732880,107700
2011-08-10,24.469999,27.230000,24.030001,24.030001,19.841148,9500
2011-08-11,24.540001,25.049999,24.389999,25.049999,20.683340,15800
2011-08-12,25.260000,25.290001,24.860001,25.120001,20.741137,7700
2011-08-15,25.580000,25.770000,25.379999,25.559999,21.104433,34700
2011-08-16,25.620001,25.629999,25.290001,25.430000,20.997101,12000
2011-08-17,25.910000,25.910000,25.469999,25.639999,21.170496,11800
2011-08-18,25.059999,25.059999,24.469999,24.610001,20.320040,2300
2011-08-19,24.580000,24.900000,24.290001,24.420000,20.163162,5400
2011-08-22,24.340000,24.440001,24.059999,24.059999,19.865915,1000
2011-08-23,24.610001,24.830000,24.320000,24.830000,20.501688,4900
2011-08-24,24.570000,24.660000,24.469999,24.660000,20.361324,5000
2011-08-25,24.780001,24.780001,24.059999,24.280001,20.047567,4500
2011-08-26,24.040001,24.580000,24.040001,24.549999,20.270498,900
2011-08-29,25.120001,25.320000,25.090000,25.250000,20.848476,1800
2011-08-30,25.139999,26.070000,25.010000,25.549999,21.096184,10000
2011-08-31,25.620001,25.799999,25.540001,25.799999,21.302605,5700
2011-09-01,25.540001,25.879999,25.540001,25.600000,21.137466,5400
2011-09-02,25.350000,25.360001,25.180000,25.240000,20.840221,4500
2011-09-06,24.360001,24.790001,24.360001,24.709999,20.402607,1700
2011-09-07,25.000000,25.450001,25.000000,25.350000,20.931049,11300
2011-09-08,25.040001,25.110001,24.850000,24.850000,20.518211,10500
2011-09-09,24.530001,24.780001,24.059999,24.230000,20.006287,8700
2011-09-12,23.830000,24.110001,23.309999,23.719999,19.585180,6500
2011-09-13,23.969999,24.110001,23.820000,23.879999,19.717291,2600
2011-09-14,23.420000,23.930000,23.320000,23.930000,19.758574,5400
2011-09-15,23.950001,23.950001,23.850000,23.910000,19.742056,3000
2011-09-16,23.900000,24.200001,23.900000,24.139999,19.931969,61200
2011-09-19,22.990000,23.760000,22.990000,23.760000,19.618214,4200
2011-09-20,23.760000,23.760000,23.760000,23.760000,19.618214,0
2011-09-21,23.200001,23.290001,22.959999,23.000000,18.990690,3400
2011-09-22,21.559999,26.600000,20.040001,21.500000,17.752167,5900
