Date,Open,High,Low,Close,Adj Close,Volume
2009-01-20,8.223330,8.223330,7.883330,7.883330,6.589573,1200
2009-01-21,7.883330,7.883330,7.883330,7.883330,6.589573,0
2009-01-22,8.020000,8.020000,8.020000,8.020000,6.703815,300
2009-01-23,8.283330,8.283330,8.283330,8.283330,6.923929,1800
2009-01-26,8.233330,8.493330,8.233330,8.493330,7.099465,600
2009-01-27,8.493330,8.493330,8.493330,8.493330,7.099465,0
2009-01-28,8.493330,8.493330,8.493330,8.493330,7.099465,0
2009-01-29,8.493330,8.493330,8.493330,8.493330,7.099465,0
2009-01-30,7.956670,7.956670,7.956670,7.956670,6.650877,1800
2009-02-02,7.670000,7.760000,7.670000,7.760000,6.486484,31800
2009-02-03,7.750000,7.750000,7.750000,7.750000,6.478125,600
2009-02-04,7.820000,7.916670,7.793330,7.793330,6.514344,7200
2009-02-05,7.976670,7.990000,7.976670,7.990000,6.678738,600
2009-02-06,7.990000,8.400000,7.990000,8.400000,7.021451,1200
2009-02-09,8.103330,8.680000,8.043330,8.146670,6.809697,4800
2009-02-10,7.816670,7.860000,7.750000,7.750000,6.478125,900
2009-02-11,7.933330,7.933330,7.176670,7.786670,6.508777,33300
2009-02-12,7.540000,7.560000,7.370000,7.370000,6.160488,31200
2009-02-13,7.886670,7.886670,7.873330,7.873330,6.581215,600
2009-02-17,7.593330,7.603330,7.553330,7.553330,6.313731,31200
2009-02-18,7.623330,7.693330,7.553330,7.693330,6.430755,82800
2009-02-19,7.680000,7.730000,7.540000,7.563330,6.322090,41400
2009-02-20,7.366670,7.430000,7.263330,7.336670,6.132628,109800
2009-02-23,7.546670,7.553330,7.363330,7.363330,6.154912,102300
2009-02-24,7.450000,7.683330,7.446670,7.683330,6.422396,32100
2009-02-25,7.466670,7.466670,7.366670,7.433330,6.213425,66600
2009-02-26,7.390000,7.483330,7.320000,7.323330,6.121477,49800
2009-02-27,7.306670,7.316670,7.306670,7.316670,6.115910,54600
2009-03-02,7.213330,7.226670,6.950000,6.956670,5.814991,65700
2009-03-03,7.036670,7.040000,7.036670,7.040000,5.884645,1500
