Date,Open,High,Low,Close,Adj Close,Volume
2009-11-20,24.990000,24.990000,24.690001,24.830000,23.737122,10400
2009-11-23,25.410000,25.530001,25.230000,25.260000,24.148195,20900
2009-11-24,25.350000,25.410000,24.969999,25.059999,23.956995,47800
2009-11-25,25.330000,25.400000,25.129999,25.389999,24.272476,34700
2009-11-27,24.410000,24.690001,24.320000,24.580000,23.498123,35500
2009-11-30,25.000000,25.400000,24.750000,24.940001,23.842278,33100
2009-12-01,25.490000,25.600000,25.420000,25.549999,24.425430,43700
2009-12-02,25.580000,25.580000,25.420000,25.510000,24.387192,17500
2009-12-03,25.750000,25.750000,25.290001,25.299999,24.186440,26300
2009-12-04,25.700001,25.799999,25.290001,25.600000,24.473232,28900
2009-12-07,25.240000,25.240000,24.889999,24.940001,23.842278,21600
2009-12-08,25.070000,25.080000,24.900000,24.950001,23.851839,7800
2009-12-09,25.059999,25.230000,25.010000,25.230000,24.119516,18000
2009-12-10,25.450001,25.500000,25.290001,25.340000,24.224672,144200
2009-12-11,25.330000,25.330000,25.000000,25.100000,23.995239,35800
2009-12-14,25.120001,25.120001,24.950001,25.070000,23.966560,121500
2009-12-15,24.830000,24.830000,24.639999,24.700001,23.612846,31900
2009-12-16,24.770000,24.900000,24.750000,24.770000,23.679764,13500
2009-12-17,24.719999,24.719999,24.350000,24.370001,23.297369,22500
2009-12-18,24.290001,24.299999,24.080000,24.270000,23.201771,36500
2009-12-21,24.330000,24.350000,24.240000,24.280001,23.211332,72400
2009-12-22,24.379999,24.520000,24.350000,24.370001,23.297369,25400
2009-12-23,25.190001,25.190001,24.830000,25.000000,23.899635,63200
2009-12-24,25.200001,25.290001,25.200001,25.219999,24.109959,4700
2009-12-28,25.590000,25.590000,25.330000,25.389999,24.272476,28500
2009-12-29,25.490000,25.690001,25.270000,25.379999,24.262913,14500
2009-12-30,25.530001,25.530001,25.290001,25.400000,24.282034,14400
2009-12-31,25.590000,25.590000,25.309999,25.309999,24.195995,16400
2010-01-04,25.889999,26.150000,25.889999,26.129999,24.979898,34300
2010-01-05,26.400000,26.400000,26.129999,26.299999,25.142418,53800
