Date,Open,High,Low,Close,Adj Close,Volume
2017-11-02,36.770000,36.770000,36.770000,36.770000,36.666805,0
2017-11-03,36.820000,36.820000,36.820000,36.820000,36.716663,500
2017-11-06,36.820000,36.820000,36.820000,36.820000,36.716663,0
2017-11-07,null,null,null,null,null,null
2017-11-08,null,null,null,null,null,null
2017-11-09,null,null,null,null,null,null
2017-11-10,null,null,null,null,null,null
2017-11-13,null,null,null,null,null,null
2017-11-14,null,null,null,null,null,null
2017-11-15,null,null,null,null,null,null
2017-11-16,null,null,null,null,null,null
2017-11-17,null,null,null,null,null,null
2017-11-20,null,null,null,null,null,null
2017-11-21,null,null,null,null,null,null
2017-11-22,null,null,null,null,null,null
2017-11-24,null,null,null,null,null,null
2017-11-27,null,null,null,null,null,null
2017-11-28,null,null,null,null,null,null
2017-11-29,null,null,null,null,null,null
2017-11-30,null,null,null,null,null,null
2017-12-01,null,null,null,null,null,null
2017-12-04,null,null,null,null,null,null
2017-12-05,null,null,null,null,null,null
2017-12-06,null,null,null,null,null,null
2017-12-07,null,null,null,null,null,null
2017-12-08,null,null,null,null,null,null
2017-12-11,null,null,null,null,null,null
2017-12-12,null,null,null,null,null,null
2017-12-13,null,null,null,null,null,null
2017-12-14,null,null,null,null,null,null
2017-12-15,null,null,null,null,null,null
2017-12-18,null,null,null,null,null,null
2017-12-19,null,null,null,null,null,null
2017-12-20,null,null,null,null,null,null
2017-12-21,null,null,null,null,null,null
2017-12-22,null,null,null,null,null,null
2017-12-26,null,null,null,null,null,null
2017-12-27,null,null,null,null,null,null
2017-12-28,null,null,null,null,null,null
2017-12-29,null,null,null,null,null,null
2018-01-02,null,null,null,null,null,null
2018-01-03,null,null,null,null,null,null
2018-01-04,null,null,null,null,null,null
2018-01-05,null,null,null,null,null,null
2018-01-08,null,null,null,null,null,null
2018-01-09,null,null,null,null,null,null
2018-01-10,null,null,null,null,null,null
2018-01-11,null,null,null,null,null,null
2018-01-12,null,null,null,null,null,null
2018-01-16,37.099998,37.099998,37.099998,37.099998,36.995876,0
2018-01-17,37.619999,37.639999,37.619999,37.639999,37.534363,400
2018-01-18,37.639999,37.639999,37.639999,37.639999,37.534363,0
2018-01-19,38.009998,38.209999,38.009998,38.209999,38.102764,1200
2018-01-22,38.209999,38.209999,38.209999,38.209999,38.102764,0
2018-01-23,38.139999,38.139999,38.139999,38.139999,38.032959,200
2018-01-24,38.139999,38.139999,38.139999,38.139999,38.032959,0
2018-01-25,38.139999,38.139999,38.139999,38.139999,38.032959,0
2018-01-26,38.340000,38.349998,38.340000,38.349998,38.242371,300
2018-01-29,38.250000,38.250000,38.250000,38.250000,38.142651,200
2018-01-30,37.810001,37.810001,37.619999,37.619999,37.514420,700
2018-01-31,37.619999,37.619999,37.619999,37.619999,37.514420,0
2018-02-01,37.619999,37.619999,37.619999,37.619999,37.514420,0
2018-02-02,37.430000,37.490002,37.310001,37.490002,37.384785,700
2018-02-05,37.490002,37.490002,37.490002,37.490002,37.384785,0
2018-02-06,35.310001,35.310001,35.310001,35.310001,35.210903,200
2018-02-07,35.310001,35.310001,35.310001,35.310001,35.210903,0
2018-02-08,35.310001,35.310001,35.310001,35.310001,35.210903,0
2018-02-09,35.150002,35.150002,35.150002,35.150002,35.051353,200
2018-02-12,35.150002,35.150002,35.150002,35.150002,35.051353,0
2018-02-13,35.150002,35.150002,35.150002,35.150002,35.051353,0
2018-02-14,35.150002,35.150002,35.150002,35.150002,35.051353,0
2018-02-15,35.150002,35.150002,35.150002,35.150002,35.051353,0
2018-02-16,37.330002,37.330002,37.330002,37.330002,37.225235,300
2018-02-20,37.330002,37.330002,37.330002,37.330002,37.225235,0
2018-02-21,36.880001,37.209999,36.880001,37.209999,37.105568,700
2018-02-22,37.029999,37.029999,37.029999,37.029999,36.926075,400
2018-02-23,37.029999,37.029999,37.029999,37.029999,36.926075,0
2018-02-26,37.860001,37.860001,37.860001,37.860001,37.753746,700
2018-02-27,37.860001,37.860001,37.860001,37.860001,37.753746,0
2018-02-28,37.860001,37.860001,37.860001,37.860001,37.753746,0
2018-03-01,37.860001,37.860001,37.860001,37.860001,37.753746,0
2018-03-02,37.860001,37.860001,37.860001,37.860001,37.753746,0
2018-03-05,37.860001,37.860001,37.860001,37.860001,37.753746,0
2018-03-06,37.860001,37.860001,37.860001,37.860001,37.753746,0
2018-03-07,37.200001,37.200001,37.200001,37.200001,37.095600,100
2018-03-08,37.810001,37.810001,37.730000,37.730000,37.624111,400
2018-03-09,37.730000,37.730000,37.730000,37.730000,37.624111,0
2018-03-12,37.730000,37.730000,37.730000,37.730000,37.624111,0
2018-03-13,37.730000,37.730000,37.730000,37.730000,37.624111,0
2018-03-14,38.279999,38.279999,38.279999,38.279999,38.172565,200
2018-03-15,38.279999,38.279999,38.279999,38.279999,38.172565,0
2018-03-16,38.279999,38.279999,38.279999,38.279999,38.172565,0
2018-03-19,38.279999,38.279999,38.279999,38.279999,38.172565,0
2018-03-20,38.279999,38.279999,38.279999,38.279999,38.172565,0
2018-03-21,39.000000,39.000000,39.000000,39.000000,38.890549,200
2018-03-22,38.790001,38.790001,38.790001,38.790001,38.681137,200
2018-03-23,38.790001,38.790001,38.790001,38.790001,38.681137,0
2018-03-26,38.790001,38.790001,38.790001,38.790001,38.681137,0
2018-03-27,39.189999,39.189999,39.189999,39.189999,39.080013,1000
2018-03-28,39.189999,39.189999,39.189999,39.189999,39.080013,0
2018-03-29,38.980000,38.980000,38.880001,38.880001,38.770885,500
2018-04-02,38.880001,38.880001,38.880001,38.880001,38.770885,0
2018-04-03,38.880001,38.880001,38.880001,38.880001,38.770885,0
2018-04-04,38.880001,38.880001,38.880001,38.880001,38.770885,0
2018-04-05,38.880001,38.880001,38.880001,38.880001,38.770885,0
2018-04-06,38.779999,38.779999,38.779999,38.779999,38.671162,100
2018-04-09,38.779999,38.779999,38.779999,38.779999,38.671162,0
2018-04-10,38.779999,38.779999,38.779999,38.779999,38.671162,0
2018-04-11,39.250000,39.250000,39.250000,39.250000,39.139847,200
2018-04-12,39.250000,39.250000,39.250000,39.250000,39.139847,0
2018-04-13,39.250000,39.250000,39.250000,39.250000,39.139847,0
2018-04-16,39.680000,39.680000,39.680000,39.680000,39.568638,600
2018-04-17,38.919998,39.029999,38.669998,39.029999,38.920464,1200
2018-04-18,39.029999,39.029999,39.029999,39.029999,38.920464,0
2018-04-19,38.189999,38.209999,37.840000,37.840000,37.733803,700
2018-04-20,37.619999,37.630001,37.619999,37.630001,37.524391,600
2018-04-23,38.200001,38.200001,38.099998,38.099998,37.993073,700
2018-04-24,38.570000,38.570000,37.830002,37.830002,37.723831,600
