Date,Open,High,Low,Close,Adj Close,Volume
2009-06-04,59.330002,60.389999,59.330002,60.000000,59.045578,5700
2009-06-05,63.320000,63.320000,59.730000,61.220001,60.246174,110200
2009-06-08,60.220001,60.220001,57.500000,59.380001,58.435440,17900
2009-06-09,58.380001,58.840000,57.220001,58.459999,57.530075,24500
2009-06-10,62.990002,63.110001,59.990002,61.439999,60.462673,103400
2009-06-11,63.410000,66.510002,63.410000,64.959999,63.926678,77700
2009-06-12,62.590000,63.130001,61.770000,63.130001,62.125793,46500
2009-06-15,59.959999,59.980000,57.250000,58.639999,57.707211,50800
2009-06-16,57.990002,58.520000,54.930000,55.400002,54.518753,30600
2009-06-17,55.220001,56.410000,54.130001,55.750000,54.863186,21400
2009-06-18,55.279999,56.130001,53.959999,55.299999,54.420341,34100
2009-06-19,56.400002,56.560001,55.299999,55.630001,54.745094,31400
2009-06-22,54.799999,55.480000,52.599998,53.139999,52.294701,76800
2009-06-23,52.740002,53.139999,50.900002,52.180000,51.349972,24300
2009-06-24,55.980000,57.189999,55.000000,55.459999,54.577793,80600
2009-06-25,55.610001,58.570000,55.110001,58.419998,57.490707,49400
2009-06-26,59.680000,60.270000,58.869999,60.070000,59.114464,45800
2009-06-29,60.689999,61.500000,59.740002,60.980000,60.009987,30300
2009-06-30,60.240002,60.320000,58.250000,59.759998,58.809395,28300
2009-07-01,61.630001,62.369999,60.889999,60.889999,59.921421,32900
2009-07-02,57.860001,57.959999,56.599998,56.990002,56.083462,42700
2009-07-06,57.310001,59.250000,56.650002,59.220001,58.277988,22700
2009-07-07,57.380001,57.380001,54.790001,54.900002,54.026703,28100
2009-07-08,55.070000,55.680000,52.000000,54.169998,53.308311,38900
2009-07-09,56.410000,56.730000,55.320000,56.250000,55.355228,30200
2009-07-10,55.049999,55.709999,53.820000,54.990002,54.115276,18200
2009-07-13,53.529999,54.939999,51.680000,54.619999,53.751156,36700
2009-07-14,56.680000,57.009998,56.070000,56.639999,55.739025,22600
2009-07-15,59.189999,61.939999,59.189999,61.549999,60.570923,40400
2009-07-16,59.970001,61.570000,59.639999,60.799999,59.832851,22100
2009-07-17,62.009998,63.090000,61.549999,62.650002,61.653427,37100
2009-07-20,67.099998,67.989998,66.360001,67.500000,66.426270,94300
2009-07-21,67.879997,68.040001,64.889999,66.870003,65.806305,48600
2009-07-22,64.930000,66.989998,64.739998,65.980003,64.930458,22400
2009-07-23,68.400002,72.379997,68.239998,71.449997,70.313438,111400
2009-07-24,70.480003,72.150002,69.809998,72.150002,71.002304,57500
2009-07-27,72.629997,73.769997,71.500000,73.389999,72.222580,52300
2009-07-28,73.680000,74.389999,71.800003,73.900002,72.724472,56400
2009-07-29,69.930000,70.180000,67.250000,68.680000,67.587502,108300
2009-07-30,71.330002,72.940002,71.000000,71.000000,69.870605,62300
2009-07-31,70.879997,71.629997,69.680000,70.919998,69.791870,63300
2009-08-03,75.059998,76.699997,74.339996,76.290001,75.076454,59800
2009-08-04,72.550003,74.650002,72.540001,73.839996,72.665421,56700
2009-08-05,71.660004,71.930000,68.550003,70.339996,69.221100,83500
2009-08-06,72.209999,72.599998,69.419998,70.699997,69.575371,45700
2009-08-07,70.349998,71.290001,68.800003,70.360001,69.240784,56700
2009-08-10,70.739998,71.870003,69.339996,70.660004,69.536011,29300
2009-08-11,70.730003,70.879997,67.750000,68.919998,67.823692,26800
2009-08-12,68.139999,70.419998,67.870003,69.389999,68.286209,39800
2009-08-13,70.389999,70.839996,68.639999,70.099998,68.984917,39400
2009-08-14,70.139999,70.139999,66.599998,67.750000,66.672295,41100
2009-08-17,62.840000,62.840000,60.560001,61.430000,60.452831,81200
2009-08-18,63.200001,64.620003,62.820000,64.110001,63.090199,54700
2009-08-19,61.490002,64.540001,61.360001,64.330002,63.306705,53200
2009-08-20,65.110001,66.449997,64.820000,66.209999,65.156792,46600
2009-08-21,65.820000,66.800003,64.739998,66.769997,65.707886,64200
2009-08-24,67.169998,67.639999,65.320000,65.809998,64.763161,55500
2009-08-25,66.940002,67.180000,65.639999,65.860001,64.812363,19400
2009-08-26,65.290001,65.970001,64.690002,65.040001,64.005409,23100
2009-08-27,64.790001,65.419998,63.130001,65.239998,64.202225,31000
2009-08-28,65.290001,65.510002,63.330002,63.709999,62.696564,16300
2009-08-31,61.110001,62.330002,60.910000,62.090000,61.102333,39300
2009-09-01,61.660000,62.950001,58.900002,59.060001,58.120533,37600
2009-09-02,59.990002,61.169998,59.730000,60.240002,59.281761,31300
2009-09-03,63.000000,63.090000,61.419998,63.090000,62.086426,50400
2009-09-04,66.190002,67.870003,65.529999,67.559998,66.485313,65200
2009-09-08,72.029999,72.239998,70.730003,71.790001,70.648033,39100
2009-09-09,70.709999,71.699997,70.120003,71.180000,70.047737,31500
2009-09-10,71.529999,72.639999,70.260002,72.480003,71.327065,52100
2009-09-11,73.339996,73.339996,71.589996,71.940002,70.795647,17000
2009-09-14,70.139999,72.540001,70.000000,72.139999,70.992470,34700
2009-09-15,71.260002,72.059998,70.800003,71.910004,70.766129,14400
2009-09-16,74.570000,76.750000,74.120003,76.699997,75.479927,67400
2009-09-17,76.500000,77.820000,75.400002,75.900002,74.692665,28500
2009-09-18,76.489998,76.540001,74.970001,75.339996,74.141563,27800
2009-09-21,72.940002,73.500000,71.849998,73.050003,71.887993,49200
2009-09-22,74.410004,74.900002,73.599998,74.529999,73.344452,21000
2009-09-23,73.639999,74.220001,71.500000,71.660004,70.520103,31200
2009-09-24,69.940002,70.400002,66.500000,67.750000,66.672295,58700
2009-09-25,68.050003,69.239998,67.139999,68.050003,66.967529,39400
2009-09-28,67.010002,69.150002,66.800003,68.419998,67.331642,79000
2009-09-29,68.639999,69.370003,67.660004,68.440002,67.351326,35100
2009-09-30,67.610001,67.900002,64.980003,66.919998,65.855499,62200
2009-10-01,66.779999,66.779999,62.689999,62.849998,61.850243,70700
2009-10-02,61.320000,63.099998,60.980000,62.320000,61.328674,73700
2009-10-05,64.199997,66.250000,63.540001,65.290001,64.251434,45100
2009-10-06,68.279999,70.070000,68.000000,68.639999,67.548141,58200
2009-10-07,70.110001,70.809998,69.849998,70.309998,69.191574,70400
2009-10-08,72.879997,73.570000,71.989998,72.779999,71.622284,65200
2009-10-09,72.970001,73.599998,72.610001,73.260002,72.094658,24000
2009-10-12,72.699997,73.110001,71.589996,71.820000,70.677559,34600
2009-10-13,72.430000,73.000000,71.400002,72.790001,71.632133,30200
2009-10-14,76.349998,78.000000,76.169998,77.879997,76.641159,91500
2009-10-15,76.290001,77.699997,76.290001,77.589996,76.355774,25800
2009-10-16,74.809998,74.930000,73.639999,74.180000,73.000015,36600
2009-10-19,77.199997,78.860001,76.769997,78.500000,77.251305,39000
2009-10-20,79.010002,79.010002,76.540001,77.599998,76.365616,27100
2009-10-21,76.849998,79.570000,76.519997,76.519997,75.302795,20800
2009-10-22,76.489998,78.000000,75.500000,77.900002,76.660843,18200
2009-10-23,80.610001,80.739998,77.389999,78.220001,76.975754,56600
2009-10-26,79.480003,80.669998,76.519997,76.860001,75.637390,69700
2009-10-27,77.589996,78.589996,76.370003,76.459999,75.243744,48300
2009-10-28,74.070000,74.279999,70.000000,70.730003,69.604897,84300
2009-10-29,72.089996,74.720001,72.089996,73.889999,72.714630,52200
2009-10-30,73.550003,73.650002,68.250000,68.930000,67.833527,72500
2009-11-02,72.000000,73.980003,70.459999,72.160004,71.012154,61600
2009-11-03,69.360001,72.099998,69.360001,71.720001,70.579147,48000
2009-11-04,75.269997,76.410004,73.669998,74.169998,72.990173,59800
2009-11-05,75.169998,77.320000,75.169998,77.290001,76.060547,30400
2009-11-06,76.110001,78.129997,75.620003,77.040001,75.814529,50100
2009-11-09,80.500000,82.849998,80.500000,82.739998,81.423851,72200
2009-11-10,80.919998,81.680000,80.559998,81.389999,80.095329,49200
2009-11-11,82.389999,82.910004,81.180000,81.800003,80.498810,40800
2009-11-12,80.790001,81.309998,78.230003,78.639999,77.389069,59800
2009-11-13,80.660004,82.250000,79.930000,81.440002,80.144539,41600
2009-11-16,83.769997,85.930000,83.720001,85.000000,83.647903,58300
2009-11-17,84.000000,84.870003,82.900002,84.480003,83.136177,42300
2009-11-18,83.480003,83.750000,81.690002,82.440002,81.128632,39600
2009-11-19,80.029999,80.160004,77.610001,78.709999,77.457962,74900
2009-11-20,77.550003,78.620003,77.430000,78.519997,77.270981,37300
2009-11-23,82.620003,83.379997,81.629997,82.139999,80.833397,46900
2009-11-24,79.620003,80.199997,78.389999,80.199997,78.924255,59100
2009-11-25,80.639999,81.080002,79.830002,80.620003,79.337578,58000
2009-11-27,71.730003,74.860001,70.339996,73.519997,72.350510,143800
2009-11-30,74.879997,75.750000,73.889999,75.279999,74.082520,66200
2009-12-01,78.720001,80.269997,78.599998,79.300003,78.038574,41600
2009-12-02,79.830002,80.830002,79.330002,79.720001,78.451889,11200
2009-12-03,80.070000,80.809998,78.489998,78.699997,77.448112,29700
2009-12-04,81.760002,82.889999,79.080002,80.889999,79.603287,35600
2009-12-07,78.970001,80.059998,78.629997,78.669998,77.418594,28400
2009-12-08,75.959999,76.309998,74.500000,75.120003,73.925072,48700
2009-12-09,74.550003,75.089996,73.410004,74.769997,73.580627,24300
2009-12-10,74.720001,75.150002,74.300003,74.480003,73.295250,14800
2009-12-11,75.180000,75.320000,73.919998,74.750000,73.560951,19100
2009-12-14,75.459999,75.959999,75.000000,75.330002,74.131729,20400
2009-12-15,73.790001,75.010002,73.349998,73.769997,72.596535,38300
2009-12-16,73.129997,73.790001,72.550003,72.809998,71.651810,33700
2009-12-17,70.080002,70.230003,68.750000,68.870003,67.774483,72400
2009-12-18,67.900002,68.360001,66.790001,67.849998,66.770706,42100
2009-12-21,67.120003,68.529999,67.120003,68.169998,67.085617,50400
2009-12-22,68.139999,69.070000,67.660004,68.040001,66.957687,35900
2009-12-23,69.279999,69.940002,68.730003,69.919998,68.807777,45600
2009-12-24,71.139999,71.650002,70.849998,71.400002,70.264244,15600
2009-12-28,71.660004,71.860001,70.370003,70.739998,69.614738,23300
2009-12-29,70.790001,71.099998,70.120003,70.389999,69.270302,10200
2009-12-30,69.620003,70.370003,69.610001,70.370003,69.250626,17700
2009-12-31,72.430000,72.739998,71.029999,71.169998,70.037895,20600
2010-01-04,73.000000,74.139999,73.000000,74.139999,72.960648,42800
2010-01-05,76.660004,77.260002,76.059998,77.110001,75.883415,50600
2010-01-06,78.570000,79.000000,76.790001,78.930000,77.674461,36000
2010-01-07,77.930000,77.930000,75.820000,76.669998,75.450409,35600
2010-01-08,76.209999,77.120003,75.349998,77.120003,75.893250,30400
2010-01-11,78.040001,78.160004,76.180000,77.190002,75.962143,31600
2010-01-12,74.910004,74.910004,72.529999,73.690002,72.517815,64700
2010-01-13,72.209999,72.230003,70.709999,71.830002,70.687401,32500
2010-01-14,70.519997,70.730003,69.900002,70.529999,69.408081,78900
2010-01-15,69.800003,69.800003,68.150002,68.489998,67.400520,95600
2010-01-19,70.550003,72.800003,70.550003,72.669998,71.514038,80100
2010-01-20,68.000000,68.000000,66.050003,67.349998,66.278656,106500
2010-01-21,65.209999,65.459999,62.009998,62.230000,61.240108,164500
2010-01-22,63.200001,63.410000,60.459999,60.490002,59.527786,86600
2010-01-25,62.779999,63.080002,61.599998,62.400002,61.407406,72600
2010-01-26,58.820000,60.279999,57.990002,58.849998,57.913872,112700
2010-01-27,57.419998,58.639999,56.410000,58.160000,57.234848,78600
2010-01-28,60.070000,60.369999,57.590000,58.730000,57.795780,96500
2010-01-29,60.490002,60.540001,57.799999,58.320000,57.392303,48500
2010-02-01,59.990002,62.070000,59.990002,62.070000,61.082649,58600
2010-02-02,61.450001,63.020000,60.770000,62.750000,61.751835,55600
2010-02-03,63.250000,63.880001,62.340000,62.750000,61.751835,34900
2010-02-04,60.310001,60.310001,56.830002,56.900002,55.994892,114500
2010-02-05,55.450001,56.180000,53.000000,55.950001,55.060005,147800
2010-02-08,55.639999,56.450001,54.570000,54.570000,53.701954,77100
2010-02-09,57.330002,59.500000,56.650002,58.349998,57.421825,202700
2010-02-10,59.139999,60.000000,57.509998,58.939999,58.002441,35600
2010-02-11,60.070000,62.110001,59.419998,62.110001,61.122013,43100
2010-02-12,59.520000,60.180000,58.240002,59.799999,58.848759,127400
2010-02-16,61.189999,62.000000,60.090000,61.669998,60.689014,118700
2010-02-17,62.860001,62.900002,61.509998,62.209999,61.220425,64300
2010-02-18,61.099998,62.560001,61.099998,62.220001,61.230267,13500
2010-02-19,59.549999,60.830002,59.369999,60.099998,59.143986,62600
2010-02-22,61.240002,61.500000,60.380001,60.560001,59.596672,33400
2010-02-23,60.779999,61.220001,58.590000,58.810001,57.874508,80800
2010-02-24,59.980000,61.150002,59.840000,60.990002,60.019833,42000
2010-02-25,58.389999,60.310001,57.869999,60.099998,59.143986,135200
2010-02-26,61.099998,62.099998,60.480000,61.740002,60.757900,24700
2010-03-01,64.349998,65.260002,64.129997,65.050003,64.015251,67500
2010-03-02,66.050003,67.050003,65.660004,65.989998,64.940292,74800
2010-03-03,66.099998,67.099998,65.580002,65.610001,64.566338,27500
2010-03-04,64.099998,64.410004,63.070000,63.700001,62.686726,30300
2010-03-05,65.550003,66.760002,65.129997,66.699997,65.639000,58100
2010-03-08,67.190002,67.720001,67.160004,67.230003,66.160576,41500
2010-03-09,66.879997,68.379997,66.879997,67.330002,66.258980,37500
2010-03-10,67.300003,68.680000,67.300003,67.910004,66.829758,33100
2010-03-11,66.709999,67.669998,65.800003,67.540001,66.465637,47300
2010-03-12,67.449997,67.550003,66.470001,66.959999,65.894867,25000
2010-03-15,65.650002,65.879997,64.610001,65.550003,64.507294,46500
2010-03-16,65.550003,66.419998,64.959999,66.099998,65.048546,33300
2010-03-17,68.080002,69.089996,67.660004,68.260002,67.174187,44000
2010-03-18,68.089996,68.199997,67.040001,67.709999,66.632935,17700
2010-03-19,66.419998,67.870003,65.940002,66.419998,65.363449,28800
2010-03-22,65.080002,66.919998,64.900002,66.589996,65.530746,30100
2010-03-23,66.370003,67.309998,65.970001,67.160004,66.091682,40000
2010-03-24,65.750000,65.949997,64.860001,65.459999,64.418724,39400
2010-03-25,65.059998,65.209999,62.849998,63.250000,62.243881,59100
2010-03-26,65.599998,66.620003,64.730003,65.580002,64.536819,65800
2010-03-29,66.790001,68.309998,66.750000,68.169998,67.085617,27100
2010-03-30,69.599998,71.290001,69.599998,70.199997,69.083321,66200
2010-03-31,69.449997,70.690002,69.330002,69.870003,68.758583,43900
2010-04-01,72.500000,73.820000,72.500000,73.750000,72.576859,83700
2010-04-05,74.559998,75.750000,74.389999,75.489998,74.289177,80100
2010-04-06,74.739998,76.000000,74.589996,75.629997,74.426949,37900
2010-04-07,75.599998,75.629997,73.699997,74.620003,73.433022,50500
2010-04-08,74.290001,76.000000,73.339996,75.470001,74.269493,75800
2010-04-09,76.949997,78.370003,76.790001,78.360001,77.113525,46500
2010-04-12,76.290001,76.940002,75.970001,76.320000,75.105980,72800
2010-04-13,75.500000,75.660004,74.019997,75.620003,74.417114,41500
2010-04-14,76.110001,77.440002,75.849998,77.120003,75.893250,75400
2010-04-15,75.989998,76.589996,75.529999,75.989998,74.781227,50500
2010-04-16,72.620003,72.839996,69.500000,70.389999,69.270302,157400
2010-04-19,68.559998,69.629997,67.430000,69.160004,68.059875,75600
2010-04-20,71.500000,71.519997,70.309998,71.150002,70.018219,68200
2010-04-21,70.120003,70.120003,68.099998,69.260002,68.158287,92600
2010-04-22,68.410004,69.989998,67.419998,69.900002,68.788101,35800
2010-04-23,68.180000,69.680000,67.949997,69.589996,68.483025,29500
2010-04-26,70.190002,70.510002,69.580002,69.639999,68.532234,36800
2010-04-27,67.339996,67.699997,64.029999,64.519997,63.493679,90000
2010-04-28,65.970001,66.080002,64.129997,65.760002,64.713959,53800
2010-04-29,65.290001,66.519997,64.889999,65.970001,64.920616,45700
2010-04-30,67.559998,67.559998,65.290001,65.500000,64.458092,31200
2010-05-03,66.190002,66.930000,65.139999,66.709999,65.648842,38200
2010-05-04,63.590000,63.660000,60.889999,61.759998,60.777580,106000
2010-05-05,60.099998,62.279999,59.380001,59.860001,58.907806,72700
2010-05-06,59.660000,60.540001,50.000000,55.939999,55.050159,135600
2010-05-07,57.480000,59.099998,55.110001,57.099998,56.191711,97600
